,s,t,method,hash,k,cost,factor,portfolio,infos
3210,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.39213284189352,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151;a92-95-128-23-134-12-142],[56.456;;65.840;;73.248;;81.912;;84.720]
3211,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.39213284189352,1.006244489731687,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151;a92-95-128-23-134-12-142],[56.456;;65.840;;73.248;;81.912;;84.720]
3212,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.390269457606486,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151;a18-122-149-20-28-30-151],[56.456;;68.132;;82.331;;84.415;;94.664]
3213,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.390269457606486,1.006210639795335,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151;a18-122-149-20-28-30-151],[56.456;;68.132;;82.331;;84.415;;94.664]
3214,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.078934690918985,,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151],[56.456;;70.424;;84.173;;88.527;;108.264]
3215,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.078934690918985,1.0005549829832856,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151],[56.456;;70.424;;84.173;;88.527;;108.264]
3216,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,4,55.090728707277776,1.0007692311691556,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-122-149-20-28-30-151],[+2.56%;;+0.80%;;+0.13%;;+0.08%]
3217,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,4,55.0951593738912,1.0008497179393314,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-90-27-28-30-151],[+2.56% | f=0.675;;+0.80% | f=0.171;;+0.13% | f=0.121;;+0.08% | f=0.014]
3218,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.491163238,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;59.278;;62.242;;64.869]
3219,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151],[56.456;;59.278;;62.242;;64.869]
