,k,d,i,j
1153,75,2318,0,14
1154,75,2260,0,15
1155,75,2471,0,16
1156,75,2025,0,17
1157,75,2251,0,18
1158,75,1619,0,19
1159,75,2395,1,2
1160,75,1631,1,3
1161,75,1866,1,4
1162,75,1997,1,5
1163,75,1704,1,6
1164,75,2026,1,7
1165,75,1553,1,8
1166,75,2012,1,9
1167,75,2068,1,10
1168,75,1430,1,11
1169,75,1937,1,12
1170,75,1846,1,13
1171,75,1451,1,14
1172,75,1964,1,15
1173,75,1763,1,16
1174,75,1620,1,17
1175,75,1632,1,18
1176,75,1860,1,19
1177,75,2423,2,3
1178,75,2095,2,4
1179,75,2228,2,5
1180,75,1928,2,6
1181,75,2495,2,7
1182,75,2002,2,8
1183,75,2076,2,9
1184,75,2405,2,10
1185,75,2099,2,11
1186,75,1965,2,12
1187,75,2424,2,13
1188,75,1997,2,14
1189,75,2117,2,15
1190,75,2024,2,16
1191,75,2377,2,17
1192,75,1822,2,18
1193,75,2314,2,19
1194,75,2212,3,4
1195,75,2260,3,5
1196,75,2194,3,6
1197,75,1680,3,7
1198,75,1840,3,8
1199,75,2214,3,9
1200,75,2500,3,10
1201,75,1929,3,11
1202,75,2116,3,12
1203,75,1432,3,13
1204,75,1681,3,14
1205,75,2563,3,15
1206,75,2315,3,16
1207,75,2046,3,17
1208,75,2203,3,18
1209,75,1994,3,19
1210,75,1652,4,5
1211,75,1271,4,6
1212,75,2282,4,7
1213,75,1565,4,8
1214,75,1342,4,9
1215,75,1612,4,10
1216,75,1252,4,11
1217,75,2373,4,12
1218,75,2097,4,13
1219,75,1959,4,14
1220,75,1641,4,15
1221,75,1240,4,16
1222,75,2293,4,17
1223,75,1774,4,18
1224,75,1617,4,19
1225,75,2175,5,6
1226,75,2499,5,7
1227,75,1891,5,8
1228,75,1800,5,9
1229,75,1776,5,10
1230,75,1799,5,11
1231,75,2157,5,12
1232,75,2212,5,13
1233,75,1909,5,14
1234,75,2130,5,15
1235,75,2216,5,16
1236,75,2042,5,17
1237,75,1852,5,18
1238,75,1918,5,19
1239,75,1997,6,7
1240,75,1362,6,8
1241,75,1566,6,9
1242,75,2044,6,10
1243,75,1339,6,11
1244,75,2024,6,12
1245,75,1665,6,13
1246,75,1747,6,14
1247,75,1474,6,15
1248,75,734,6,16
1249,75,1955,6,17
