s,t,expected s-t distance,standard deviation of s-t distance,s,t,entropy,frequency of mode
55,14,69.33218634560188,10.217298244194279,55,14,0.1734346842396053,0.9636574074074075
55,15,49.706952026946865,5.647399416907166,55,15,0.9351499302284872,0.6168981481481481
55,16,88.92340545324774,12.202465042417192,55,16,0.17674374412192836,0.9636574074074075
55,17,57.8328229849096,6.756461977716891,55,17,0.8071681338403259,0.5131944444444444
55,18,73.38987386060428,10.38741754400584,55,18,0.8285918016171071,0.5594907407407408
55,19,39.847981992270796,5.652549165463135,55,19,0.0021691886415661126,0.9997685185185186
55,20,50.05762319777316,6.083009676810168,55,20,0.1791448064729357,0.9694444444444444
55,21,35.22099619916903,5.173596170115598,55,21,0.0021691886415661126,0.9997685185185186
55,22,53.20430195260185,6.310373966514463,55,22,0.1791448064729357,0.9694444444444444
55,23,45.89540968621988,5.3782342132144345,55,23,0.6954250853472802,0.5263888888888889
55,24,44.92415458886575,5.308871568037895,55,24,0.7925298417451485,0.5113425925925926
55,25,67.86239360766214,10.352314818105116,55,25,0.3447417652260718,0.9125
55,26,42.85498687646991,5.983294073558513,55,26,0.787753330373206,0.6261574074074074
55,27,86.36541842150038,12.753515406822817,55,27,0.8420068212361161,0.5583333333333333
55,28,39.510460401932804,4.825892122113493,55,28,0.6954250853472802,0.5263888888888889
55,29,48.62750382724093,6.133863298461792,55,29,0.11201728630189742,0.9831018518518518
55,30,97.39408181622437,12.861184379477749,55,30,0.17674374412192836,0.9636574074074075
55,31,99.36410171913883,13.098044428981877,55,31,1.1044257315908668,0.562962962962963
55,32,56.08351040760434,9.083936423646952,55,32,0.26389522758433237,0.9298611111111111
55,33,39.125300144532446,5.3276264396497215,55,33,0.0832728747993358,0.9868055555555556
55,34,54.08560333191431,6.592638369683136,55,34,0.11201728630189742,0.9831018518518518
55,35,26.901094397032363,4.2763115945952155,55,35,0.0021691886415661126,0.9997685185185186
55,36,45.45078592096767,6.125280504740256,55,36,0.0832728747993358,0.9868055555555556
55,37,33.936131697212986,5.14176942164488,55,37,0.25314899359636217,0.930787037037037
55,38,29.36308234582409,4.37373606022122,55,38,0.05148470799612575,0.9909722222222223
55,39,84.87068237789346,13.300553885883035,55,39,0.7805077660832788,0.6259259259259259
55,40,44.29730434198387,6.963604705128179,55,40,0.25314899359636217,0.930787037037037
55,41,40.223632070793954,5.310522824776815,55,41,0.05549793072710615,0.9905092592592593
55,42,15.866570720451412,2.3119893685801505,55,42,-0.0,1.0
55,43,56.21606826704865,7.796310833094256,55,43,0.0832728747993358,0.9868055555555556
55,44,29.285648162849537,5.190847510542958,55,44,0.007392827050184505,0.9990740740740741
55,45,70.14580073478673,10.613635922162112,55,45,0.7805077660832788,0.6259259259259259
55,46,50.63468560573836,6.717132238781993,55,46,0.05549793072710615,0.9905092592592593
55,47,55.09207290299522,8.128168780622019,55,47,0.2588436467101742,0.9300925925925926
55,48,8.848604118453723,1.4533761457135104,55,48,-0.0,1.0
55,49,62.253145824972336,9.48180031505871,55,49,0.5170857469121377,0.8530092592592593
55,50,66.77441965717816,9.878700537800224,55,50,0.5170857469121377,0.8530092592592593
55,51,39.49791313508334,6.235695288745334,55,51,0.010525772841444644,0.9986111111111111
55,52,64.30177478694918,9.395111145525945,55,52,0.7355121639903709,0.6284722222222222
55,53,19.735196227388865,3.237006857009906,55,53,-0.0,1.0
55,54,32.777604239791614,5.1299611089303765,55,54,-0.0,1.0
55,55,0.0,0.0,55,55,-0.0,1.0
55,56,30.29880678367129,4.777230065551348,55,56,-0.0,1.0
55,57,84.12733612830084,12.405479474686823,55,57,0.7805077660832788,0.6259259259259259
55,58,91.03767243478714,13.85519990914104,55,58,0.024431732654320193,0.9962962962962963
55,59,31.013901140907418,5.325118221462002,55,59,-0.0,1.0
55,60,46.53989220827546,6.713013690507915,55,60,0.0040174222145676316,0.999537037037037
55,61,46.95764048001367,7.829926597590377,55,61,-0.0,1.0
55,62,53.27759404311111,7.847158592947756,55,62,0.024431732654320193,0.9962962962962963
55,63,65.49916343495143,9.99337327076799,55,63,0.024431732654320193,0.9962962962962963
55,64,61.49764036262498,8.957718990614076,55,64,0.024431732654320193,0.9962962962962963
55,65,73.14204365721514,10.496572219201852,55,65,0.024431732654320193,0.9962962962962963
55,66,98.96683320453228,21.22143428335881,55,66,0.024431732654320193,0.9962962962962963
56,0,97.25681577652566,11.631582636572968,56,0,1.1233025511952266,0.525
56,1,inf,,56,1,-0.0,1.0
56,2,71.67855245331474,9.311947643127175,56,2,1.896281004107803,0.26643518518518516
56,3,75.52480233166673,8.71218144198221,56,3,1.3152429512469608,0.5766203703703704
56,4,63.54525116744459,8.688740645480635,56,4,0.8728383909889271,0.5263888888888889
56,5,78.01474222686359,9.559303551123067,56,5,1.798874624464066,0.26458333333333334
56,6,inf,,56,6,-0.0,1.0
56,7,76.4805494869211,9.515724141529038,56,7,1.2270055483025015,0.4548611111111111
56,8,115.58533538881275,14.987305952695166,56,8,1.1446758460356778,0.5229166666666667
56,9,69.71966476332416,8.261301712854307,56,9,1.3152429512469608,0.5766203703703704
56,10,85.75512715397697,11.674099907929367,56,10,1.1233025511952266,0.525
56,11,65.84932056428231,7.799224306224889,56,11,1.6026631000835923,0.37060185185185185
56,12,56.052241084546296,7.775963953423447,56,12,0.8728383909889271,0.5263888888888889
56,13,inf,,56,13,-0.0,1.0
56,14,76.74911033246985,10.652255350999784,56,14,1.1233025511952266,0.525
56,15,60.122335780752195,7.032337314563565,56,15,1.5649925006293786,0.37245370370370373
56,16,96.33339881570146,12.592287873734422,56,16,1.1446758460356778,0.5229166666666667
56,17,69.56854882443038,8.76747679259678,56,17,0.8663359706366753,0.5094907407407407
56,18,72.1493079811271,10.576551427996641,56,18,0.24848444417804247,0.9548611111111112
56,19,49.981477202650495,6.792330045334797,56,19,0.8725174895164456,0.5263888888888889
56,20,61.789292501085676,8.002768923538673,56,20,0.23987057637182785,0.9622685185185185
56,21,45.35449140954861,6.354243505940934,56,21,0.8725174895164456,0.5263888888888889
56,22,64.93597125591413,8.240238524132167,56,22,0.23987057637182785,0.9622685185185185
56,23,56.68860608599316,6.983781577043071,56,23,1.0938765112595727,0.4136574074074074
56,24,55.69473850419666,6.895466449001883,56,24,1.2305489662115494,0.3972222222222222
56,25,64.58164784261825,9.97465948924016,56,25,0.13146120358779534,0.9770833333333333
56,26,41.31570473642354,6.257338473683695,56,26,0.06050303923177077,0.9907407407407407
56,27,85.13441356256006,12.786639841992669,56,27,0.25191617068241234,0.9548611111111112
56,28,50.30365680170581,6.513264616199678,56,28,1.0938765112595727,0.4136574074074074
56,29,60.38853159334482,8.118863044059205,56,29,0.1527264841679974,0.9780092592592593
56,30,104.80407517867823,13.255478769024434,56,30,1.1446758460356778,0.5229166666666667
56,31,101.06020674254641,13.778932351165235,56,31,0.7714135607811249,0.825925925925926
56,32,52.68014147691669,8.567351315752386,56,32,0.12625301598629798,0.9777777777777777
56,33,50.88754775166886,7.244873129143735,56,33,0.12479746615693092,0.9814814814814815
56,34,65.84663109801849,8.566288352895395,56,34,0.1527264841679974,0.9780092592592593
56,35,37.107362540111026,5.575614993134411,56,35,0.692173956052359,0.5615740740740741
56,36,57.213033528104184,8.057828152512093,56,36,0.12479746615693092,0.9814814814814815
56,37,30.67453343128245,5.040709406182459,56,37,0.02920107870626881,0.9958333333333333
56,38,41.14431786056492,6.369386129321683,56,38,0.09142637743938585,0.9854166666666667
56,39,56.5273778747639,9.944553848250774,56,39,0.018959672547463474,0.9974537037037037
56,40,40.996440538004606,6.608120563003122,56,40,0.06633630080208326,0.9893518518518518
56,41,52.0048675855348,7.250453574774926,56,41,0.09543699681033974,0.9849537037037037
56,42,27.67978131475465,4.892434777775582,56,42,0.024492697303363606,0.9965277777777778
56,43,67.97831587418528,9.611939557655026,56,43,0.12479746615693092,0.9814814814814815
56,44,19.570113187523127,3.7046373858917785,56,44,0.0040174222145676316,0.999537037037037
56,45,41.80249623165743,7.238655876613456,56,45,0.018959672547463474,0.9974537037037037
56,46,62.41592112047924,8.590998448347886,56,46,0.09543699681033974,0.9849537037037037
56,47,51.57917901146283,7.537697776889001,56,47,0.2279962244309794,0.9428240740740741
56,48,34.47996532965985,5.972518024144837,56,48,0.024492697303363606,0.9965277777777778
56,49,39.92903388837731,6.14866002642335,56,49,0.06311548821912608,0.9884259259259259
56,50,44.450307720583304,6.5192061534074695,56,50,0.06311548821912608,0.9884259259259259
56,51,9.204107042687477,2.1529974643900753,56,51,-0.0,1.0
56,52,35.92490527942368,6.028719500626668,56,52,0.014943216068960777,0.9979166666666667
56,53,29.082522945791784,5.2983995745316745,56,53,0.0040174222145676316,0.999537037037037
56,54,2.478797456120365,0.5677060276888539,56,54,-0.0,1.0
56,55,43.009434330550825,7.2186547976615305,56,55,0.024492697303363606,0.9965277777777778
56,56,0.0,0.0,56,56,-0.0,1.0
56,57,55.78403162517126,9.04317043313863,56,57,0.018959672547463474,0.9974537037037037
56,58,60.76328802206733,10.630376494404986,56,58,0.0021691886415661126,0.9997685185185186
56,59,40.36122785931034,7.316401844941322,56,59,0.0040174222145676316,0.999537037037037
56,60,16.242218599601873,3.1314573143808,56,60,-0.0,1.0
56,61,16.658833696342622,4.207462755065218,56,61,-0.0,1.0
56,62,23.003209630391236,4.274005408239816,56,62,0.0021691886415661126,0.9997685185185186
56,63,35.22477902223144,6.637779091800316,56,63,0.0021691886415661126,0.9997685185185186
56,64,31.223255949905177,5.384400857904936,56,64,0.0021691886415661126,0.9997685185185186
56,65,42.86765924449534,7.135946501677313,56,65,0.0021691886415661126,0.9997685185185186
56,66,68.69244879181254,19.037069312148727,56,66,0.0021691886415661126,0.9997685185185186
57,0,91.77663122999542,11.43204629078881,57,0,0.9039073219859184,0.6381944444444444
57,1,inf,,57,1,-0.0,1.0
57,2,90.06949244679195,11.477141948687233,57,2,1.8647377870217183,0.32175925925925924
57,3,99.25655682143996,10.983304686575591,57,3,1.5277316538587398,0.5659722222222222
